Did you do puzzles in your childhood?,,,,,
"When do you do puzzles, during your trip or when you feel bored?",,,,,
Do you like doing word puzzles or number puzzles? Which is more difficult for you?,,,,,
Do you think it is good for old people to do puzzles?,,,,,
Do you do some cooking?,,,,,
Do you help your family cook a home now?,,,,,
Did you do some house cleaning when you were young?,,,,,
Do you have breakfast at home everyday?,,,,,
Do you want to learn how to cook well?,,,,,
Does your name have any special meaning?,,,,,
How would you choose names for you next generation?,,,,,
Are there any differences between how Chinese name their children now and in the past?,,,,,
Does anyone is your family have the same name as you?,,,,,
Do you like getting up early in the morning?,,,,,
What do you usually do in the morning when you were little? Why?,,,,,
Are there any differences between what you do in the morning now and what you did in the past?,,,,,
Do you like geography?,,,,,
Have you ever studied geography at school?,,,,,
Are you good at reading a map?,,,,,
Would you visit a country because of its geographical location?,,,,,
What kind of public transportation do you usually take?,,,,,
When do you usually take public transportation in your everyday life or when you are travelling?,,,,,
Do most people prefer public transportation in your country?,,,,,
Did you take public transportation when you were a kid?,,,,,
What snacks do you like to eat?,,,,,
Did you often eat snacks when you were young?,,,,,
When do you usually eat snacks now?,,,,,
Do you think it is healthy for you to eat snacks?,,,,,
Do you like singing? Why?,,,,,
Have you ever learned how to sing?,,,,,
Who do you want to sing for?,,,,,
Do you think singing can bring happiness to people?,,,,,
Do you or your friends like using social media?,,,,,
Do you think you or your friends use too much social media?,,,,,
Do you want to work in social media? Why?,,,,,
What's the most popular social media in China? Why?,,,,,
Do you write a lot?,,,,,
What do you like to write? Why?,,,,,
Do you think the things you write could change?,,,,,
Do you prefer typing or handwriting when you are writing?,,,,,
"What technology do you often use, computers or cellphones?",,,,,
What electronic devices have you bought lately?,,,,,
Are there any technology you want to buy?,,,,,
What are the benefits of technology? Do you think it is important in your life?,,,,,
What do you usually do on your birthday?,,,,,
What did you do on your birthday when you were young?,,,,,
Do you think it is important for you to celebrate your birthday?,,,,,
Whose birthday do you think is the most important to celebrate in China?,,,,,
What's the weather like where you live?,,,,,
